resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,fbclid,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,6.8657,space,13.6386,space,8.9516,space,1,0.4814,0,0,0,2,1,X,space,WRO81,001,,2023-12-11_14h21.49.605,Trial go no go,2020.2.10,MacIntel,60,IwAR1bTyDSHG7yZt3pEUVRaYGabdFDzI1kK7QKxBFTaedbp8_RWbqA8W8CVpI,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4833,0,1,1,7,1,X,space,WRO81,001,,2023-12-11_14h21.49.605,Trial go no go,2020.2.10,MacIntel,60,IwAR1bTyDSHG7yZt3pEUVRaYGabdFDzI1kK7QKxBFTaedbp8_RWbqA8W8CVpI,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4226,0,2,2,8,1,X,space,WRO81,001,,2023-12-11_14h21.49.605,Trial go no go,2020.2.10,MacIntel,60,IwAR1bTyDSHG7yZt3pEUVRaYGabdFDzI1kK7QKxBFTaedbp8_RWbqA8W8CVpI,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4496,0,3,3,10,1,X,space,WRO81,001,,2023-12-11_14h21.49.605,Trial go no go,2020.2.10,MacIntel,60,IwAR1bTyDSHG7yZt3pEUVRaYGabdFDzI1kK7QKxBFTaedbp8_RWbqA8W8CVpI,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,4,4,14,1,K,none,WRO81,001,,2023-12-11_14h21.49.605,Trial go no go,2020.2.10,MacIntel,60,IwAR1bTyDSHG7yZt3pEUVRaYGabdFDzI1kK7QKxBFTaedbp8_RWbqA8W8CVpI,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4809,0,5,5,11,1,X,space,WRO81,001,,2023-12-11_14h21.49.605,Trial go no go,2020.2.10,MacIntel,60,IwAR1bTyDSHG7yZt3pEUVRaYGabdFDzI1kK7QKxBFTaedbp8_RWbqA8W8CVpI,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4493,0,6,6,1,1,X,space,WRO81,001,,2023-12-11_14h21.49.605,Trial go no go,2020.2.10,MacIntel,60,IwAR1bTyDSHG7yZt3pEUVRaYGabdFDzI1kK7QKxBFTaedbp8_RWbqA8W8CVpI,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3991,0,7,7,6,1,X,space,WRO81,001,,2023-12-11_14h21.49.605,Trial go no go,2020.2.10,MacIntel,60,IwAR1bTyDSHG7yZt3pEUVRaYGabdFDzI1kK7QKxBFTaedbp8_RWbqA8W8CVpI,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3834,0,8,8,0,1,X,space,WRO81,001,,2023-12-11_14h21.49.605,Trial go no go,2020.2.10,MacIntel,60,IwAR1bTyDSHG7yZt3pEUVRaYGabdFDzI1kK7QKxBFTaedbp8_RWbqA8W8CVpI,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5329,0,9,9,5,1,X,space,WRO81,001,,2023-12-11_14h21.49.605,Trial go no go,2020.2.10,MacIntel,60,IwAR1bTyDSHG7yZt3pEUVRaYGabdFDzI1kK7QKxBFTaedbp8_RWbqA8W8CVpI,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4532,0,10,10,12,1,X,space,WRO81,001,,2023-12-11_14h21.49.605,Trial go no go,2020.2.10,MacIntel,60,IwAR1bTyDSHG7yZt3pEUVRaYGabdFDzI1kK7QKxBFTaedbp8_RWbqA8W8CVpI,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,11,11,4,1,W,none,WRO81,001,,2023-12-11_14h21.49.605,Trial go no go,2020.2.10,MacIntel,60,IwAR1bTyDSHG7yZt3pEUVRaYGabdFDzI1kK7QKxBFTaedbp8_RWbqA8W8CVpI,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4477,0,12,12,13,1,X,space,WRO81,001,,2023-12-11_14h21.49.605,Trial go no go,2020.2.10,MacIntel,60,IwAR1bTyDSHG7yZt3pEUVRaYGabdFDzI1kK7QKxBFTaedbp8_RWbqA8W8CVpI,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3834,0,13,13,3,1,X,space,WRO81,001,,2023-12-11_14h21.49.605,Trial go no go,2020.2.10,MacIntel,60,IwAR1bTyDSHG7yZt3pEUVRaYGabdFDzI1kK7QKxBFTaedbp8_RWbqA8W8CVpI,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,14,14,9,1,V,none,WRO81,001,,2023-12-11_14h21.49.605,Trial go no go,2020.2.10,MacIntel,60,IwAR1bTyDSHG7yZt3pEUVRaYGabdFDzI1kK7QKxBFTaedbp8_RWbqA8W8CVpI,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO81,001,,2023-12-11_14h21.49.605,Trial go no go,2020.2.10,MacIntel,60,IwAR1bTyDSHG7yZt3pEUVRaYGabdFDzI1kK7QKxBFTaedbp8_RWbqA8W8CVpI,space,6.0175,space,1,0.3655,0,0,0,42,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO81,001,,2023-12-11_14h21.49.605,Trial go no go,2020.2.10,MacIntel,60,IwAR1bTyDSHG7yZt3pEUVRaYGabdFDzI1kK7QKxBFTaedbp8_RWbqA8W8CVpI,,,,1,,0,1,1,44,1,F,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO81,001,,2023-12-11_14h21.49.605,Trial go no go,2020.2.10,MacIntel,60,IwAR1bTyDSHG7yZt3pEUVRaYGabdFDzI1kK7QKxBFTaedbp8_RWbqA8W8CVpI,,,space,1,0.3357,0,2,2,41,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO81,001,,2023-12-11_14h21.49.605,Trial go no go,2020.2.10,MacIntel,60,IwAR1bTyDSHG7yZt3pEUVRaYGabdFDzI1kK7QKxBFTaedbp8_RWbqA8W8CVpI,,,space,1,0.3794,0,3,3,28,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO81,001,,2023-12-11_14h21.49.605,Trial go no go,2020.2.10,MacIntel,60,IwAR1bTyDSHG7yZt3pEUVRaYGabdFDzI1kK7QKxBFTaedbp8_RWbqA8W8CVpI,,,,1,,0,4,4,9,1,W,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO81,001,,2023-12-11_14h21.49.605,Trial go no go,2020.2.10,MacIntel,60,IwAR1bTyDSHG7yZt3pEUVRaYGabdFDzI1kK7QKxBFTaedbp8_RWbqA8W8CVpI,,,space,1,0.3545,0,5,5,1,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO81,001,,2023-12-11_14h21.49.605,Trial go no go,2020.2.10,MacIntel,60,IwAR1bTyDSHG7yZt3pEUVRaYGabdFDzI1kK7QKxBFTaedbp8_RWbqA8W8CVpI,,,space,1,0.3806,0,6,6,18,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO81,001,,2023-12-11_14h21.49.605,Trial go no go,2020.2.10,MacIntel,60,IwAR1bTyDSHG7yZt3pEUVRaYGabdFDzI1kK7QKxBFTaedbp8_RWbqA8W8CVpI,,,,1,,0,7,7,19,1,K,none,,,,,,,,,,,,,,
