resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,17.0718,space,23.6567,space,22.2756,,0,0,0,0,0,1,X,space,PUM22K,001,PUM22K,2024-03-12_08h50.58.987,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,1,1,11,1,X,space,PUM22K,001,PUM22K,2024-03-12_08h50.58.987,Trial go no go,2020.2.10,Win32,60,0.5411,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,2,2,4,1,W,none,PUM22K,001,PUM22K,2024-03-12_08h50.58.987,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,3,3,12,1,X,space,PUM22K,001,PUM22K,2024-03-12_08h50.58.987,Trial go no go,2020.2.10,Win32,60,0.3837,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,4,4,10,1,X,space,PUM22K,001,PUM22K,2024-03-12_08h50.58.987,Trial go no go,2020.2.10,Win32,60,0.4764,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,5,5,13,1,X,space,PUM22K,001,PUM22K,2024-03-12_08h50.58.987,Trial go no go,2020.2.10,Win32,60,0.4095,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,6,6,5,1,X,space,PUM22K,001,PUM22K,2024-03-12_08h50.58.987,Trial go no go,2020.2.10,Win32,60,0.4255,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,7,7,8,1,X,space,PUM22K,001,PUM22K,2024-03-12_08h50.58.987,Trial go no go,2020.2.10,Win32,60,0.4593,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,8,8,6,1,X,space,PUM22K,001,PUM22K,2024-03-12_08h50.58.987,Trial go no go,2020.2.10,Win32,60,0.411,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,9,9,1,1,X,space,PUM22K,001,PUM22K,2024-03-12_08h50.58.987,Trial go no go,2020.2.10,Win32,60,0.4189,,,,,,,,,,,,,,,,,,,,,,,,,,
