resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,fbclid,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.3263,0,22,22,22,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.3504,0,23,23,15,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,,1,,0,24,24,4,1,V,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.3489,0,25,25,38,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,,1,,0,26,26,29,1,T,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.3628,0,27,27,35,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,,1,,0,28,28,39,1,M,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.3318,0,29,29,37,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,,0,,0,30,30,45,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.2861,0,31,31,46,1,X,space,,,,,,,,,,,,,,
